gloss
ANGRY
APPLE
ASK
BABY
BAD
BASKETBALL
BED
BEE
BELT
BIG
BOOK
BORED
BROTHER
BUS
BUY
CALL
CAR
CHAIR
CHRISTMAS
CITY
CLEAN
CLOSE
COFFEE
COLD
COME
COOK
DARK
DEMAND
DOG
EAT
ELEVATOR
EXCITED
FAST
FATHER
FINE
FOREIGNER
FRIEND
GO
GOOD
HAPPY
HELP
HOSPITAL
HOT
HOUSE
HUNGRY
KNOW
LATER
LIKE
LIVE
MECHANIC
MEET
MILK
MONTH
MORNING
MOTHER
MOVIE
NEED
NIGHT
NOW
OPEN
PARTY
PATIENT
PAY
PEN
PLAY
READ
RUN
SAD
SCHOOL
SHAVE
SICK
SISTER
SLOW
SMALL
START
STOP
STUDENT
TEACH
TEACHER
TIRED
TODAY
TOMORROW
UNDERSTAND
USE
WAIT
WALK
WANT
WASH
WATCH
WATER
WEEK
WORK
WRITE
YEAR
YESTERDAY
